,amount (near)
0,300.0
1,300.0
2,80.0
3,80.0
4,0.0
5,6.0
6,50.0
7,150.0
8,60.0
12,578.0
13,480.0
14,288.0
20,530.0
21,120.0
23,7.0
26,0.0
27,0.0
28,0.0
32,0.0
33,0.0
35,90.0
41,400.0
42,400.0
44,92.0
48,550.0
49,482.0
51,0.0
52,338.0
53,0.0
54,150.0
55,150.0
56,150.0
57,150.0
59,150.0
62,165.0
68,325.0
69,0.0
70,0.0
71,0.0
73,165.0
74,162.0
75,149.0
80,43.5
81,43.5
83,123.0
84,550.0
90,150.0
92,195.0
98,0.0
99,0.0
100,0.0
102,560.0
105,300.0
110,350.0
112,400.0
113,0.0
115,10.0
118,300.0
120,300.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
127,72.0
128,45.0
130,0.0
131,276.0
132,0.0
136,635.0
137,210.0
139,300.0
141,224.0
142,338.0
143,0.0
144,160.0
146,155.0
147,619.0
148,113.92
150,16.95
152,139.0
154,428.0
155,116.0
156,105.0
159,710.0
162,19.0
163,36.0
164,26.0
165,266.0
166,31.0
167,6.0
168,367.5
169,24.0
170,51.0
171,490.0
172,20.0
173,372.0
174,38.0
175,0.0
176,60.0
177,0.0
178,60.0
179,310.0
181,7.934
183,240.0
184,150.0
185,150.0
186,150.0
187,440.0
188,350.0
189,50.0
190,440.0
192,15.0
196,110.0
200,670.0
201,50.0
202,50.0
203,104.0
204,50.0
205,50.0
207,25.0
208,10.0
212,728.0
213,728.0
214,600.0
216,665.0
218,50.0
219,50.0
220,550.0
221,600.0
223,500.0
225,0.0
226,450.0
227,575.0
228,620.0
229,420.0
230,50.0
231,50.0
232,0.0
233,0.0
234,0.0
235,334.0
236,340.0
237,250.0
238,200.0
239,200.0
240,655.0
241,675.0
242,339.44
243,620.0
244,653.0
245,508.0
246,156.0
247,321.0
248,190.0
249,542.0
250,365.0
251,187.0
252,628.0
253,650.0
254,263.0
255,412.0
265,1.0
266,600.0
267,230.0
268,0.0
271,690.0
273,300.0
274,100.0
275,100.0
276,146.0
277,70.0
278,300.0
280,280.0
281,220.0
282,250.0
283,304.0
285,224.0
