,Days
1024,1.0
1025,1.0
1028,5.0
1030,8.0
1030,8.0
1034,4.0
1038,11.0
1038,4.0
1040,13.0
1041,23.0
1045,15.0
1047,12.0
1217,10.0
996,17.0
1220,17.0
1220,17.0
1228,2.0
1230,19.0
1232,24.0
1232,13.0
1233,10.0
1235,20.0
1237,14.0
1242,29.0
1243,2.0
1246,68.0
1256,33.0
1072,10.0
1259,9.0
1261,15.0
1261,10.0
1264,35.0
1265,11.0
1188,4.0
1269,4.0
1271,8.0
1271,3.0
1272,15.0
1273,4.0
1274,2.0
1275,45.0
1276,11.0
1277,3.0
1278,4.0
1280,4.0
1281,24.0
1282,8.0
1283,35.0
1284,40.0
1286,17.0
1000,25.0
1,23.0
1,32.0
1289,40.0
1291,10.0
1293,20.0
1294,10.0
1295,71.0
1300,25.0
1301,24.0
1302,32.0
5,16.0
1303,5.0
1303,68.0
1305,13.0
1053,1.0
1307,16.0
1308,1.0
1308,17.0
1309,23.0
1310,4.0
1074,54.0
1312,36.0
1312,59.0
1314,1.0
1314,25.0
1315,19.0
1315,9.0
1316,12.0
1317,32.0
1317,2.0
6,20.0
1002,23.0
7,21.0
1323,26.0
1326,1.0
1326,5.0
1327,21.0
1076,6.0
1076,22.0
1003,68.0
1332,4.0
1335,5.0
1338,5.0
1339,6.0
1345,11.0
1345,3.0
1347,1.0
11,5.0
14,28.0
398,2.0
1081,7.0
17,7.0
17,17.0
1348,2.0
403,1.0
1082,32.0
1083,12.0
1084,3.0
1350,27.0
1351,9.0
19,3.0
406,6.0
1352,13.0
20,2.0
20,2.0
1353,13.0
408,11.0
1354,2.0
23,1.0
1356,14.0
1358,0.0
1360,0.0
1363,15.0
1365,13.0
1367,62.0
1368,76.0
1368,76.0
1369,1.0
1370,63.0
1371,20.0
1374,6.0
1085,7.0
1086,8.0
24,6.0
24,2.0
1377,44.0
1378,18.0
1380,49.0
1380,49.0
1381,3.0
1382,9.0
1383,2.0
1383,3.0
25,10.0
25,12.0
1387,22.0
1388,1.0
1090,9.0
1391,0.0
1394,20.0
1397,17.0
1091,11.0
1091,1.0
1406,4.0
26,41.0
27,2.0
1092,3.0
1094,4.0
1094,4.0
1410,1.0
1412,11.0
409,8.0
1427,18.0
1433,65.0
1433,3.0
1096,3.0
1440,25.0
29,6.0
29,6.0
30,4.0
1442,5.0
1443,6.0
1446,26.0
1449,32.0
1450,10.0
1450,46.0
1097,19.0
411,1.0
1098,5.0
1098,8.0
1460,4.0
1461,3.0
1100,25.0
1102,2.0
413,15.0
1467,4.0
1470,10.0
1471,9.0
1474,7.0
1475,3.0
1475,3.0
1476,2.0
1486,4.0
1487,2.0
1487,2.0
1106,8.0
1490,2.0
1491,13.0
1491,7.0
1492,12.0
1494,8.0
1495,10.0
1107,10.0
1496,5.0
1497,5.0
1498,10.0
1499,17.0
1500,23.0
1501,4.0
414,8.0
1503,4.0
1504,4.0
1505,79.0
1110,18.0
1506,9.0
1507,2.0
31,14.0
31,14.0
339,86.0
1508,3.0
1508,3.0
32,19.0
1005,37.0
33,4.0
1511,15.0
1513,2.0
1111,10.0
1514,4.0
35,41.0
35,41.0
1515,24.0
1516,20.0
1517,1.0
1518,45.0
1518,4.0
1519,80.0
1520,2.0
1520,13.0
1115,3.0
1115,2.0
1522,15.0
340,7.0
417,6.0
417,6.0
341,7.0
1116,18.0
36,39.0
342,7.0
1117,6.0
1118,5.0
1118,5.0
37,1.0
38,40.0
176,22.0
177,14.0
39,21.0
39,23.0
1523,12.0
1524,12.0
40,7.0
41,42.0
43,41.0
1525,30.0
428,40.0
44,2.0
1528,10.0
1006,12.0
431,14.0
431,5.0
346,7.0
45,1.0
1529,6.0
436,6.0
437,40.0
438,8.0
1531,1.0
443,9.0
446,2.0
47,2.0
47,7.0
1534,1.0
1535,13.0
1536,16.0
1537,11.0
448,51.0
449,31.0
1538,13.0
1539,21.0
1540,45.0
453,3.0
1541,31.0
1542,42.0
1543,1.0
1543,1.0
457,5.0
1544,2.0
461,33.0
1546,53.0
1547,19.0
49,3.0
181,8.0
466,2.0
1548,0.0
1549,22.0
1551,7.0
1551,53.0
183,13.0
183,37.0
184,61.0
51,11.0
1552,43.0
1555,9.0
52,10.0
52,10.0
1556,2.0
1119,11.0
468,26.0
188,21.0
188,21.0
1559,13.0
1560,12.0
1562,29.0
1564,46.0
1565,11.0
1566,6.0
1120,3.0
470,35.0
190,67.0
1567,23.0
